Escenario,Dataset,Modelo,C-index,IBS
Random Split,A (Baseline),RSF,0.616331456154465,0.1296507622407074
Random Split,B (Boosted),RSF,0.6236524537409494,0.12952396091049012
Stratified Event,A (Baseline),RSF,0.6904273504273504,0.10624022519628683
Stratified Event,B (Boosted),RSF,0.6941880341880342,0.10616276112030909
Stratified Career,A (Baseline),RSF,0.5976555911620847,0.11475638851395982
Stratified Career,B (Boosted),RSF,0.5982459099342217,0.11487001310289058
Random Split,A (Baseline),XGBoost-AFT,0.6037811745776348,0.13682916029257722
Random Split,B (Boosted),XGBoost-AFT,0.6159292035398231,0.13466114590432698
Stratified Event,A (Baseline),XGBoost-AFT,0.6656410256410257,0.11415487831305521
Stratified Event,B (Boosted),XGBoost-AFT,0.671965811965812,0.14142591364421345
Stratified Career,A (Baseline),XGBoost-AFT,0.6148591668072187,0.12605910683073704
Stratified Career,B (Boosted),XGBoost-AFT,0.6034744476302918,0.14519776287914768
